Year,Gallatin,Missoula,Yellowstone
2001-01-01,,,
2002-01-01,2.7,2.1,2.2
2003-01-01,3.8,2.6,1.3
2004-01-01,5.9,1.5,2.7
2005-01-01,6.4,1.4,2.9
2006-01-01,5.1,2.7,1.9
2007-01-01,3.4,1.9,3.7
2008-01-01,0.2,0.0,1.4
2009-01-01,-6.9,-2.1,-2.1
2010-01-01,-0.5,-0.4,-0.9
2011-01-01,2.8,0.7,1.4
2012-01-01,2.5,0.8,1.6
2013-01-01,6.0,1.3,0.1
2014-01-01,4.1,1.2,0.9
2015-01-01,5.5,1.8,2.6
2016-01-01,4.7,2.2,0.5
2017-01-01,3.9,1.7,0.4
2018-01-01,3.6,1.8,0.5
