Year,Annual Pay,Num. Employees
2003-01-01,3.0,2.6
2004-01-01,2.0,1.5
2005-01-01,3.5,1.4
2006-01-01,3.5,2.7
2007-01-01,5.2,1.9
2008-01-01,3.7,0.0
2009-01-01,1.4,-2.1
2010-01-01,0.1,-0.4
2011-01-01,2.0,0.7
2012-01-01,2.4,0.8
2013-01-01,1.3,1.3
2014-01-01,3.2,1.2
2015-01-01,4.1,1.8
2016-01-01,2.6,2.2
2017-01-01,3.6,1.7
2018-01-01,3.5,1.8
