Year,Gallatin,Missoula,Yellowstone
2001-01-01,,,
2002-01-01,3.0,4.2,2.4
2003-01-01,5.4,3.1,3.1
2004-01-01,2.9,1.9,4.1
2005-01-01,5.7,3.6,4.8
2006-01-01,6.8,3.3,4.9
2007-01-01,5.2,5.3,6.2
2008-01-01,2.1,3.7,2.2
2009-01-01,0.2,1.2,1.4
2010-01-01,2.7,0.2,2.5
2011-01-01,3.4,2.0,3.7
2012-01-01,6.6,2.4,3.7
2013-01-01,-2.9,1.2,2.5
2014-01-01,3.1,3.2,3.5
2015-01-01,5.1,4.1,3.4
2016-01-01,3.5,2.6,0.7
2017-01-01,3.9,3.6,2.7
2018-01-01,3.8,3.6,3.7
