countyFIPS,County Name,State,cases,cases_per_thousand,population,pop_per_thousand,population_log,cases_per_pop
38089,Stark County,ND,1682,1.682,31489,31.489,4.49815886891289,5.3415
28043,Grenada County,MS,1107,1.107,20758,20.758,4.31718550761544,5.3329
48427,Starr County,TX,3446,3.446,64633,64.633,4.81045431456739,5.3316
28027,Coahoma County,MS,1178,1.178,22124,22.124,4.34486364979713,5.3245
31151,Saline County,NE,756,0.756,14224,14.224,4.15302174362614,5.3150
51620,Franklin city,VA,422,0.422,7967,7.967,3.90129481716557,5.2968
18017,Cass County,IN,1987,1.987,37689,37.689,4.57621461449276,5.2721
13163,Jefferson County,GA,805,0.805,15362,15.362,4.18644776077492,5.2402
4017,Navajo County,AZ,5802,5.802,110924,110.924,5.04502552216263,5.2306
28151,Washington County,MS,2292,2.292,43909,43.909,4.64255354643194,5.2199
28143,Tunica County,MS,500,0.5,9632,9.632,3.98371647391375,5.1910
12037,Franklin County,FL,628,0.628,12125,12.125,4.0836817472743,5.1794
28021,Claiborne County,MS,465,0.465,8988,8.988,3.95366306374709,5.1736
1131,Wilcox County,AL,534,0.534,10373,10.373,4.01590437789555,5.1480
48471,Walker County,TX,3748,3.748,72971,72.971,4.86315029789726,5.1363
6031,Kings County,CA,7851,7.851,152940,152.94,5.18452108585291,5.1334
28083,Leflore County,MS,1443,1.443,28183,28.183,4.44998722064343,5.1201
12003,Baker County,FL,1492,1.492,29210,29.21,4.46553155697355,5.1078
5069,Jefferson County,AR,3413,3.413,66824,66.824,4.8249324683978,5.1074
12049,Hardee County,FL,1375,1.375,26937,26.937,4.43034922627952,5.1045
48177,Gonzales County,TX,1063,1.063,20837,20.837,4.31883519172766,5.1015
48375,Potter County,TX,5989,5.989,117415,117.415,5.06972358244052,5.1007
38005,Benson County,ND,347,0.347,6832,6.832,3.83454785768095,5.0790
48313,Madison County,TX,724,0.724,14284,14.284,4.15484984152074,5.0686
19167,Sioux County,IA,1765,1.765,34855,34.855,4.54226508707253,5.0638
51660,Harrisonburg City,VA,2670,2.67,53016,53.016,4.72440695758304,5.0362
48479,Webb County,TX,13902,13.902,276652,276.652,5.44193381420614,5.0251
13165,Jenkins County,GA,435,0.435,8676,8.676,3.93831954334216,5.0138
13279,Toombs County,GA,1343,1.343,26830,26.83,4.42862067267194,5.0056
48285,Lavaca County,TX,1005,1.005,20154,20.154,4.30436125422531,4.9866
13099,Early County,GA,506,0.506,10190,10.19,4.00817418400643,4.9657
4001,Apache County,AZ,3569,3.569,71887,71.887,4.8566503599416,4.9647
12029,Dixie County,FL,834,0.834,16826,16.826,4.22598088457959,4.9566
12051,Hendry County,FL,2077,2.077,42022,42.022,4.62347671842438,4.9426
48123,DeWitt County,TX,996,0.996,20160,20.16,4.30449052777349,4.9405
46073,Jerauld County,SD,99,0.099,2013,2.013,3.30384377488865,4.9180
48095,Concho County,TX,134,0.134,2726,2.726,3.43552585149865,4.9156
27165,Watonwan County,MN,535,0.535,10897,10.897,4.03730695089709,4.9096
48001,Anderson County,TX,2829,2.829,57735,57.735,4.76143917015027,4.9000
22077,Pointe Coupee Parish,LA,1063,1.063,21730,21.73,4.33705972632052,4.8919
13243,Randolph County,GA,331,0.331,6778,6.778,3.83110156450136,4.8834
51595,Emporia city,VA,260,0.26,5346,5.346,3.72802895442052,4.8634
28097,Montgomery County,MS,475,0.475,9775,9.775,3.9901167660679,4.8593
48117,Deaf Smith County,TX,901,0.901,18546,18.546,4.26825025544695,4.8582
48163,Frio County,TX,984,0.984,20306,20.306,4.30762438184812,4.8459
29119,McDonald County,MO,1105,1.105,22837,22.837,4.35863905189346,4.8386
1047,Dallas County,AL,1799,1.799,37196,37.196,4.57049623903967,4.8365
39101,Marion County,OH,3138,3.138,65093,65.093,4.81353428772596,4.8208
19149,Plymouth County,IA,1213,1.213,25177,25.177,4.40100397989948,4.8179
22001,Acadia Parish,LA,2982,2.982,62045,62.045,4.79270678889836,4.8062
13069,Coffee County,GA,2079,2.079,43273,43.273,4.63621700470374,4.8044
19197,Wright County,IA,603,0.603,12562,12.562,4.09905878906805,4.8002
36087,Rockland County,NY,15636,15.636,325789,325.789,5.51293641662089,4.7994
13161,Jeff Davis County,GA,725,0.725,15115,15.115,4.17940815151384,4.7966
13107,Emanuel County,GA,1083,1.083,22646,22.646,4.35499150297848,4.7823
13049,Charlton County,GA,638,0.638,13392,13.392,4.12684544064919,4.7640
1025,Clarke County,AL,1125,1.125,23622,23.622,4.37331666517387,4.7625
13009,Baldwin County,GA,2127,2.127,44890,44.89,4.65214960540165,4.7382
13017,Ben Hill County,GA,791,0.791,16700,16.7,4.22271647114758,4.7365
48105,Crockett County,TX,164,0.164,3464,3.464,3.53957788334531,4.7344
1013,Butler County,AL,919,0.919,19448,19.448,4.28887494583528,4.7254
13201,Miller County,GA,270,0.27,5718,5.718,3.75724415102197,4.7219
28053,Humphreys County,MS,379,0.379,8064,8.064,3.90655051910145,4.6999
51683,Manassas City,VA,1930,1.93,41085,41.085,4.61368329130964,4.6976
13141,Hancock County,GA,397,0.397,8457,8.457,3.92721633059126,4.6943
51183,Sussex County,VA,523,0.523,11159,11.159,4.04762527758178,4.6868
22125,West Feliciana Parish,LA,729,0.729,15568,15.568,4.19223282292428,4.6827
47039,Decatur County,TN,545,0.545,11663,11.663,4.06681027562583,4.6729
13139,Hall County,GA,9498,9.498,204441,204.441,5.31056799659067,4.6458
31047,Dawson County,NE,1094,1.094,23595,23.595,4.37281998167897,4.6366
22025,Catahoula Parish,LA,439,0.439,9494,9.494,3.97744922738234,4.6240
48369,Parmer County,TX,443,0.443,9605,9.605,3.98249736919771,4.6122
45009,Bamberg County,SC,648,0.648,14066,14.066,4.14817061307739,4.6069
39129,Pickaway County,OH,2692,2.692,58457,58.457,4.76683652369886,4.6051
48283,La Salle County,TX,346,0.346,7520,7.52,3.87621784059164,4.6011
22127,Winn Parish,LA,639,0.639,13904,13.904,4.14313975910459,4.5958
49037,San Juan County,UT,703,0.703,15308,15.308,4.18491845355246,4.5924
19127,Marshall County,IA,1804,1.804,39369,39.369,4.59515438354823,4.5823
53021,Franklin County,WA,4344,4.344,95222,95.222,4.97873729895998,4.5620
53077,Yakima County,WA,11442,11.442,250873,250.873,5.39945392324372,4.5609
45005,Allendale County,SC,396,0.396,8688,8.688,3.93891981224477,4.5580
46085,Lyman County,SD,172,0.172,3781,3.781,3.57760667736254,4.5491
28153,Wayne County,MS,918,0.918,20183,20.183,4.30498572020667,4.5484
48047,Brooks County,TX,322,0.322,7093,7.093,3.85082995984853,4.5397
13253,Seminole County,GA,366,0.366,8090,8.09,3.90794852161227,4.5241
19171,Tama County,IA,762,0.762,16854,16.854,4.22670298958522,4.5212
48449,Titus County,TX,1478,1.478,32750,32.75,4.5152113043278,4.5130
22111,Union Parish,LA,997,0.997,22108,22.108,4.34454945590974,4.5097
48465,Val Verde County,TX,2208,2.208,49025,49.025,4.69041760233982,4.5038
1027,Clay County,AL,594,0.594,13235,13.235,4.12172394563737,4.4881
1065,Hale County,AL,656,0.656,14651,14.651,4.16586726835294,4.4775
28031,Covington County,MS,834,0.834,18636,18.636,4.27035270177618,4.4752
28107,Panola County,MS,1525,1.525,34192,34.192,4.53392450481999,4.4601
1035,Conecuh County,AL,538,0.538,12067,12.067,4.08159931273294,4.4584
46005,Beadle County,SD,822,0.822,18453,18.453,4.26606698174341,4.4546
48415,Scurry County,TX,743,0.743,16703,16.703,4.22279448111371,4.4483
13313,Whitfield County,GA,4651,4.651,104628,104.628,5.01964792371115,4.4453
13087,Decatur County,GA,1173,1.173,26404,26.404,4.42166972407955,4.4425
13277,Tift County,GA,1805,1.805,40644,40.644,4.60899644269225,4.4410
41049,Morrow County,OR,515,0.515,11603,11.603,4.06457029224403,4.4385
48391,Refugio County,TX,308,0.308,6948,6.948,3.84185980977506,4.4329
1053,Escambia County,AL,1623,1.623,36633,36.633,4.56387248596172,4.4304
48469,Victoria County,TX,4076,4.076,92084,92.084,4.96418417617557,4.4264
12013,Calhoun County,FL,622,0.622,14105,14.105,4.14937309049138,4.4098
45089,Williamsburg County,SC,1338,1.338,30368,30.368,4.4824161907472,4.4060
48355,Nueces County,TX,15925,15.925,362294,362.294,5.55906114168436,4.3956
51175,Southampton County,VA,774,0.774,17631,17.631,4.24627694543406,4.3900
47111,Macon County,TN,1073,1.073,24602,24.602,4.39097041416262,4.3614
53001,Adams County,WA,870,0.87,19983,19.983,4.30066068837652,4.3537
22047,Iberville Parish,LA,1414,1.414,32511,32.511,4.51203032808741,4.3493
28029,Copiah County,MS,1216,1.216,28065,28.065,4.44816504655569,4.3328
20209,Wyandotte County,KS,7163,7.163,165429,165.429,5.21861164449094,4.3300
13309,Wheeler County,GA,340,0.34,7855,7.855,3.89514618937599,4.3285
22081,Red River Parish,LA,365,0.365,8442,8.442,3.92644534781839,4.3236
1125,Tuscaloosa County,AL,9040,9.04,209355,209.355,5.3208833375534,4.3180
13167,Johnson County,GA,416,0.416,9643,9.643,3.98421216676143,4.3140
13043,Candler County,GA,466,0.466,10803,10.803,4.03354437609095,4.3136
38059,Morton County,ND,1347,1.347,31364,31.364,4.4964314451842,4.2947
47077,Henderson County,TN,1206,1.206,28117,28.117,4.44896898089437,4.2892
22049,Jackson Parish,LA,675,0.675,15744,15.744,4.19711508108727,4.2873
13061,Clay County,GA,121,0.121,2834,2.834,3.45239984591144,4.2696
45061,Lee County,SC,717,0.717,16828,16.828,4.22603250334496,4.2608
47141,Putnam County,TN,3419,3.419,80245,80.245,4.9044179813877,4.2607
47091,Johnson County,TN,757,0.757,17788,17.788,4.2501271207769,4.2557
12133,Washington County,FL,1084,1.084,25473,25.473,4.40608009560049,4.2555
22045,Iberia Parish,LA,2971,2.971,69830,69.83,4.84404204204102,4.2546
28079,Leake County,MS,969,0.969,22786,22.786,4.35766809304363,4.2526
5093,Mississippi County,AR,1728,1.728,40651,40.651,4.60907123354977,4.2508
47071,Hardin County,TN,1089,1.089,25652,25.652,4.4091212312452,4.2453
28147,Walthall County,MS,605,0.605,14286,14.286,4.15491064578852,4.2349
13299,Ware County,GA,1512,1.512,35734,35.734,4.5530816330705,4.2313
13257,Stephens County,GA,1094,1.094,25925,25.925,4.41371876506108,4.2199
28123,Scott County,MS,1182,1.182,28124,28.124,4.44907708926332,4.2028
28159,Winston County,MS,749,0.749,17955,17.955,4.25418540946209,4.1715
13071,Colquitt County,GA,1898,1.898,45600,45.6,4.65896484266444,4.1623
22073,Ouachita Parish,LA,6364,6.364,153279,153.279,5.1854826583844,4.1519
48239,Jackson County,TX,612,0.612,14760,14.76,4.16908635748702,4.1463
16033,Clark County,ID,35,0.035,845,0.845,2.92685670894969,4.1420
12027,DeSoto County,FL,1573,1.573,38001,38.001,4.57979502526859,4.1394
47131,Obion County,TN,1244,1.244,30069,30.069,4.47811898507746,4.1372
5035,Crittenden County,AR,1983,1.983,47955,47.955,4.68083389532737,4.1351
1095,Marshall County,AL,3995,3.995,96774,96.774,4.98575869229556,4.1282
