FIPSCode,State,A3a,participated,percentage_participated
2501721990,MA,15891,14223,0.90
2501724925,MA,32536,30028,0.92
2501727480,MA,7556,6812,0.90
2501730700,MA,9661,8767,0.91
2501731085,MA,10804,9336,0.86
2501731540,MA,12617,10865,0.86
2501735215,MA,20587,18591,0.90
2501735425,MA,4484,3957,0.88
2501735950,MA,6929,6001,0.87
2501737000,MA,42631,37346,0.88
2501737875,MA,24944,22995,0.92
2501738715,MA,19377,18336,0.95
2501739625,MA,7150,6090,0.85
2501739835,MA,34852,30528,0.88
2501740115,MA,19131,16961,0.89
2501743895,MA,22992,20097,0.87
2501745560,MA,51455,47469,0.92
2501748955,MA,9831,9154,0.93
2501752805,MA,7574,6846,0.90
2501756130,MA,17902,15605,0.87
2501761380,MA,3051,2723,0.89
2501761590,MA,3957,3450,0.87
2501762535,MA,48287,40874,0.85
2501767665,MA,15305,13293,0.87
2501768050,MA,4963,4487,0.90
2501768260,MA,12398,10940,0.88
2501769415,MA,20427,17608,0.86
2501770360,MA,5874,5230,0.89
2501771025,MA,8094,6845,0.85
2501772215,MA,18009,15818,0.88
2501772600,MA,28726,26729,0.93
2501773440,MA,23006,18668,0.81
2501773790,MA,9758,8608,0.88
2501776135,MA,16511,14071,0.85
2501777255,MA,7916,6696,0.85
2501780230,MA,16138,13595,0.84
2501780510,MA,14806,12988,0.88
2501781035,MA,22328,20890,0.94
2501943790,MA,8825,6583,0.75
2502102935,MA,3072,2512,0.82
2502104930,MA,11245,8982,0.80
2502107665,MA,24825,20626,0.83
2502109175,MA,34033,29680,0.87
2502111315,MA,15596,13170,0.84
2502114640,MA,5557,5040,0.91
2502116495,MA,17773,14626,0.82
2502117405,MA,4234,3672,0.87
2502124820,MA,12164,10344,0.85
2502125100,MA,22183,18433,0.83
2502130455,MA,7245,5799,0.80
2502139765,MA,8987,7799,0.87
2502139975,MA,9476,7800,0.82
2502141515,MA,5809,5050,0.87
2502141690,MA,18652,16362,0.88
2502144105,MA,21313,18472,0.87
2502146050,MA,6978,6142,0.88
2502150250,MA,19233,16116,0.84
2502154100,MA,5585,4984,0.89
2502155745,MA,52579,42192,0.80
2502155955,MA,17148,15406,0.90
2502160785,MA,12091,10528,0.87
2502167945,MA,17555,14548,0.83
2502172495,MA,17382,14828,0.85
2502174175,MA,17123,15266,0.89
2502178690,MA,10839,9494,0.88
2502178865,MA,33724,29867,0.89
2502182315,MA,7578,6804,0.90
2502300170,MA,10851,8912,0.82
2502308085,MA,16604,13140,0.79
2502309000,MA,50302,36485,0.73
2502311665,MA,6986,6367,0.91
2502317895,MA,12087,10096,0.84
2502318455,MA,9668,8015,0.83
2502327795,MA,5474,4519,0.83
2502328285,MA,10040,8838,0.88
2502328495,MA,6930,6158,0.89
2502330210,MA,17219,14855,0.86
2502331645,MA,8763,6543,0.75
2502333220,MA,9507,7734,0.81
2502333920,MA,7867,6504,0.83
2502338540,MA,3788,3323,0.88
2502338855,MA,19481,15920,0.82
2502339450,MA,5000,4314,0.86
2502340850,MA,15401,12655,0.82
2502350145,MA,7883,6766,0.86
2502352630,MA,13130,10616,0.81
2502354310,MA,38074,33023,0.87
2502354415,MA,2152,1808,0.84
2502357600,MA,4248,3434,0.81
2502357775,MA,11834,9561,0.81
2502360330,MA,14200,12115,0.85
2502372985,MA,14586,11533,0.79
2502375260,MA,5000,4211,0.84
2502379530,MA,9813,8061,0.82
2502507000,MA,354515,277366,0.78
2502513205,MA,15190,10033,0.66
2502556585,MA,23264,20081,0.86
2502580930,MA,12231,9727,0.80
2502701885,MA,4096,3399,0.83
2502702480,MA,6433,5056,0.79
2502702760,MA,10937,9455,0.86
2502703740,MA,3584,2936,0.82
2502705490,MA,2225,1966,0.88
2502706015,MA,5198,4623,0.89
2502706365,MA,3857,3345,0.87
2502707525,MA,3380,2861,0.85
2502709105,MA,2200,1827,0.83
2502712715,MA,9564,7341,0.77
2502714395,MA,8659,7237,0.84
2502717300,MA,5960,4975,0.83
2502717685,MA,6408,5487,0.86
2502718560,MA,1312,1217,0.93
2502723875,MA,17753,15679,0.88
2502725485,MA,10349,8762,0.85
2502726430,MA,11460,10287,0.90
2502728740,MA,1702,1421,0.83
2502728950,MA,4217,3776,0.90
2502730560,MA,12543,11440,0.91
2502730945,MA,3985,3511,0.88
2502731435,MA,3230,2765,0.86
2502734165,MA,4676,4009,0.86
2502734795,MA,6797,5828,0.86
2502735075,MA,23459,19951,0.85
2502737420,MA,7021,6440,0.92
2502740255,MA,4278,3584,0.84
2502741165,MA,14780,13826,0.94
2502741340,MA,8826,7288,0.83
2502741585,MA,2104,1672,0.79
2502745105,MA,739,623,0.84
2502746820,MA,10864,9066,0.83
2502746925,MA,10210,8407,0.82
2502747135,MA,3247,2591,0.80
2502750670,MA,1305,1184,0.91
2502751825,MA,8324,7025,0.84
2502752420,MA,2908,2708,0.93
2502753120,MA,902,827,0.92
2502753225,MA,1211,1030,0.85
2502755395,MA,2552,2345,0.92
2502758580,MA,912,702,0.77
2502758825,MA,5842,4948,0.85
2502761800,MA,22160,19207,0.87
2502763165,MA,6731,6083,0.90
2502763270,MA,8680,6981,0.80
2502766105,MA,6785,5875,0.87
2502767385,MA,5813,5066,0.87
2502768155,MA,7018,5522,0.79
2502768610,MA,6653,5748,0.86
2502769275,MA,4957,4058,0.82
2502771480,MA,5365,4676,0.87
2502771620,MA,8597,7798,0.91
2502773090,MA,3051,2412,0.79
2502773895,MA,10474,7411,0.71
2502775015,MA,11694,9776,0.84
2502775155,MA,5376,4422,0.82
2502775400,MA,2546,2097,0.82
2502777010,MA,5265,4623,0.88
2502780405,MA,6250,4618,0.74
2502782000,MA,76875,66303,0.86
2400100000,MD,43051,30981,0.72
2400300000,MD,377502,272536,0.72
2400500000,MD,546886,394541,0.72
2400900000,MD,62700,47802,0.76
2401100000,MD,19498,14220,0.73
2401300000,MD,119143,92513,0.78
2401500000,MD,64896,45588,0.70
2401700000,MD,108334,78843,0.73
2401900000,MD,21223,15317,0.72
2402100000,MD,164464,126812,0.77
2402300000,MD,19544,14148,0.72
2402500000,MD,174334,134344,0.77
2402700000,MD,207245,163668,0.79
2402900000,MD,12952,10160,0.78
2403100000,MD,656674,483430,0.74
2403300000,MD,575809,394262,0.68
2403500000,MD,34795,26722,0.77
2403700000,MD,69372,50231,0.72
2403900000,MD,12948,9952,0.77
2404100000,MD,26747,20713,0.77
2404300000,MD,93666,66562,0.71
2404500000,MD,59712,42930,0.72
2404700000,MD,37979,28501,0.75
2451000000,MD,390616,242550,0.62
23.,ME,-888888: Not Applicable,4049,0.00
2300102060,ME,16249,11986,0.74
2300119105,ME,3454,2611,0.76
2300129255,ME,3389,2597,0.77
2300138565,ME,1839,1299,0.71
2300138740,ME,27175,17257,0.64
2300140035,ME,6812,4946,0.73
2300140665,ME,1885,1339,0.71
2300140770,ME,1971,1486,0.75
2300144585,ME,2135,1586,0.74
2300146160,ME,2116,1683,0.80
2300160020,ME,4368,3284,0.75
2300164570,ME,3936,2850,0.72
2300177800,ME,4446,3383,0.76
2300179585,ME,1239,891,0.72
2300300800,ME,248,169,0.68
2300301220,ME,154,124,0.81
2300301710,ME,912,632,0.69
2300302760,ME,-888888: Not Applicable,-888888: Not Applicable,0.00
2300305385,ME,680,434,0.64
2300307065,ME,406,317,0.78
2300310565,ME,5804,4089,0.70
2300311020,ME,142,118,0.83
2300311300,ME,319,258,0.81
2300311335,ME,209,149,0.71
2300312000,ME,342,279,0.82
2300313900,ME,306,0,0.00
2300315395,ME,185,149,0.81
2300315990,ME,62,53,0.85
2300319210,ME,194,150,0.77
2300319420,ME,674,490,0.73
2300321380,ME,940,689,0.73
2300325615,ME,2365,1704,0.72
2300325755,ME,3098,2189,0.71
2300326735,ME,814,626,0.77
2300327120,ME,66,53,0.80
2300327855,ME,7,2,0.29
2300328590,ME,316,233,0.74
2300330690,ME,128,104,0.81
2300330725,ME,66,50,0.76
2300332195,ME,89,50,0.56
2300332685,ME,57,34,0.60
2300333385,ME,937,690,0.74
2300333980,ME,3625,2772,0.76
2300335065,ME,554,420,0.76
2300339300,ME,1798,812,0.45
2300339965,ME,668,482,0.72
2300340595,ME,666,509,0.76
2300341715,ME,334,234,0.70
2300342450,ME,59,44,0.75
2300342520,ME,3129,2246,0.72
2300343255,ME,1424,1155,0.81
2300343710,ME,1062,782,0.74
2300343990,ME,179,130,0.73
2300345180,ME,163,137,0.84
2300346685,ME,594,425,0.72
2300347175,ME,39,27,0.69
2300348120,ME,33,20,0.61
2300348575,ME,375,285,0.76
2300348960,ME,450,347,0.77
2300349415,ME,504,377,0.75
2300354385,ME,584,392,0.67
2300355435,ME,114,89,0.78
2300356205,ME,60,38,0.63
2300358060,ME,312,207,0.66
2300360300,ME,364,260,0.71
2300360825,ME,6797,4425,0.65
2300362400,ME,114,79,0.69
2300364780,ME,881,586,0.67
2300365025,ME,355,246,0.69
2300365200,ME,224,167,0.75
2300367790,ME,841,647,0.77
2300369260,ME,195,153,0.78
2300373472,ME,127,108,0.85
2300374405,ME,221,157,0.71
2300378570,ME,1494,988,0.66
2300379270,ME,215,146,0.68
2300379865,ME,401,301,0.75
2300380285,ME,1025,864,0.84
2300382770,ME,428,258,0.60
2300383540,ME,55,49,0.89
2300383785,ME,252,185,0.73
2300386865,ME,189,140,0.74
2300387215,ME,960,686,0.71
2300502655,ME,1252,936,0.75
2300507170,ME,4336,3027,0.70
2300508430,ME,18844,12892,0.68
2300510180,ME,8346,6598,0.79
2300511125,ME,3139,2155,0.69
2300515430,ME,6842,5505,0.80
2300524495,ME,10119,8179,0.81
2300526525,ME,7117,5615,0.79
2300527025,ME,161,78,0.48
2300528240,ME,14017,9947,0.71
2300528870,ME,6482,4931,0.76
2300531390,ME,4139,3483,0.84
2300531600,ME,1864,1497,0.80
2300541067,ME,208,176,0.85
2300548085,ME,3225,2333,0.72
2300548820,ME,4263,3364,0.79
2300553860,ME,3359,2656,0.79
2300560545,ME,57932,38577,0.67
2300560685,ME,1370,1088,0.79
2300561945,ME,4158,2898,0.70
2300566145,ME,16998,12994,0.76
2300566775,ME,1596,1132,0.71
2300571990,ME,20524,15105,0.74
2300573670,ME,7650,5555,0.73
2300582105,ME,13414,10020,0.75
2300586025,ME,13246,10140,0.77
2300587845,ME,7638,5725,0.75
2300702235,ME,368,248,0.67
2300710740,ME,667,483,0.72
2300710915,ME,401,292,0.73
2300712595,ME,974,747,0.77
2300714205,ME,156,119,0.76
2300716165,ME,239,207,0.87
2300724005,ME,619,433,0.70
2300724775,ME,6532,3983,0.61
2300734820,ME,665,470,0.71
2300735625,ME,3419,2600,0.76
2300737025,ME,1093,810,0.74
2300749345,ME,1283,942,0.73
2300749520,ME,609,450,0.74
2300758445,ME,959,649,0.68
2300761840,ME,1181,743,0.63
2300761875,ME,198,162,0.82
2300765655,ME,109,93,0.85
2300774825,ME,1035,780,0.75
2300775980,ME,472,328,0.69
2300781300,ME,381,301,0.79
2300785850,ME,2925,2245,0.77
2300901185,ME,207,174,0.84
2300902165,ME,96,76,0.79
2300902865,ME,4539,3217,0.71
2300905700,ME,2460,1824,0.74
2300907800,ME,772,574,0.74
2300907975,ME,834,657,0.79
2300908815,ME,3939,2655,0.67
2300911265,ME,1087,600,0.55
2300914905,ME,203,153,0.75
2300916935,ME,1424,1100,0.77
2300917145,ME,1752,1230,0.70
2300919770,ME,354,244,0.69
2300923200,ME,6079,4401,0.72
2300926350,ME,1128,818,0.73
2300926595,ME,42,33,0.79
2300928450,ME,1541,1034,0.67
2300928975,ME,44,41,0.93
2300930970,ME,1888,1331,0.70
2300938180,ME,1491,1112,0.75
2300943430,ME,391,292,0.75
2300947630,ME,1947,1436,0.74
2300955505,ME,1739,1402,0.81
2300955855,ME,57,41,0.72
2300955890,ME,593,449,0.76
2300957920,ME,1088,810,0.74
2300967300,ME,1031,763,0.74
2300969750,ME,288,210,0.73
2300972865,ME,1623,1135,0.70
2300974580,ME,904,611,0.68
2300974965,ME,922,677,0.73
2300975280,ME,1340,1016,0.76
2300975455,ME,328,254,0.77
2300977345,ME,1203,943,0.78
2300977415,ME,1284,878,0.68
2300978920,ME,431,314,0.73
2300980040,ME,291,210,0.72
2300986655,ME,465,310,0.67
2301100590,ME,1519,1175,0.77
2301102100,ME,14116,9214,0.65
2301104020,ME,2641,2049,0.78
2301104475,ME,1987,1566,0.79
2301112350,ME,2052,1527,0.74
2301112735,ME,3086,2516,0.82
2301113470,ME,2426,1707,0.70
2301124670,ME,2456,1723,0.70
2301124950,ME,980,789,0.81
2301127085,ME,4525,3120,0.69
2301130550,ME,2157,1659,0.77
2301140175,ME,2737,2085,0.76
2301143080,ME,2150,1679,0.78
2301146405,ME,3272,2412,0.74
2301147770,ME,1438,1064,0.74
2301154560,ME,4724,3596,0.76
2301159110,ME,2218,1723,0.78
2301161700,ME,1350,1018,0.75
2301162190,ME,2237,1666,0.74
2301163835,ME,894,622,0.70
2301168385,ME,3244,2666,0.82
2301178745,ME,3290,2480,0.75
2301179025,ME,495,396,0.80
2301180740,ME,12932,7433,0.57
2301180880,ME,1021,815,0.80
2301182945,ME,2934,2209,0.75
2301186165,ME,1879,1388,0.74
2301186515,ME,6082,4406,0.72
2301186970,ME,5120,3708,0.72
2301301465,ME,1023,874,0.85
2301309725,ME,4363,3503,0.80
2301315780,ME,1145,882,0.77
2301326805,ME,988,758,0.77
2301333840,ME,1201,1048,0.87
2301335135,ME,86,66,0.77
2301344165,ME,98,53,0.54
2301351620,ME,349,301,0.86
2301356135,ME,1359,1038,0.76
2301363590,ME,5195,3650,0.70
2301363660,ME,2905,2362,0.81
2301365130,ME,2094,1690,0.81
2301372585,ME,1242,926,0.75
2301376365,ME,2096,1516,0.72
2301378115,ME,1770,1369,0.77
2301379130,ME,988,787,0.80
2301380215,ME,2760,2153,0.78
2301380425,ME,1252,950,0.76
2301501010,ME,620,482,0.78
2301506050,ME,2688,2113,0.79
2301506120,ME,1859,1393,0.75
2301506855,ME,658,513,0.78
2301507485,ME,2392,1894,0.79
2301516235,ME,1877,1372,0.73
2301518475,ME,1457,1089,0.75
2301522675,ME,1131,823,0.73
2301535695,ME,2039,1613,0.79
2301546335,ME,75,60,0.80
2301548645,ME,1511,1270,0.84
2301549660,ME,1517,1176,0.78
2301569645,ME,433,346,0.80
2301570240,ME,837,630,0.75
2301571955,ME,552,431,0.78
2301579550,ME,3894,2834,0.73
2301584135,ME,640,516,0.81
2301585010,ME,1740,1431,0.82
2301587075,ME,2919,2251,0.77
2301701325,ME,683,546,0.80
2301704825,ME,2347,1712,0.73
2301708150,ME,1149,878,0.76
2301708710,ME,1453,1112,0.77
2301709550,ME,113,93,0.82
2301710005,ME,832,539,0.65
2301717250,ME,1013,752,0.74
2301717740,ME,1747,1306,0.75
2301726910,ME,2979,1833,0.62
2301727505,ME,152,118,0.78
2301729710,ME,667,474,0.71
2301731110,ME,258,189,0.73
2301731670,ME,864,655,0.76
2301732370,ME,947,753,0.80
2301733315,ME,1127,857,0.76
2301739422,ME,32,29,0.91
2301741365,ME,1004,716,0.71
2301742835,ME,29,18,0.62
2301745285,ME,1926,1362,0.71
2301749275,ME,327,282,0.86
2301754000,ME,3951,2693,0.68
2301755960,ME,1443,1094,0.76
2301756310,ME,3271,2230,0.68
2301756625,ME,3865,2752,0.71
2301758270,ME,1269,978,0.77
2301760405,ME,1078,822,0.76
2301764185,ME,319,249,0.78
2301764290,ME,4498,2924,0.65
2301774510,ME,212,176,0.83
2301774685,ME,257,227,0.88
2301775035,ME,696,559,0.80
2301775595,ME,326,256,0.79
2301778465,ME,82,60,0.73
2301780635,ME,1113,947,0.85
2301783890,ME,1357,1015,0.75
2301787355,ME,1187,884,0.74
2301901115,ME,687,530,0.77
2301902795,ME,24275,15912,0.66
2301906575,ME,900,679,0.75
2301906680,ME,1178,834,0.71
2301906925,ME,7469,5304,0.71
2301909200,ME,267,207,0.78
2301910670,ME,2100,1632,0.78
2301910810,ME,120,95,0.79
2301912105,ME,1002,716,0.71
2301912525,ME,501,374,0.75
2301913365,ME,784,518,0.66
2301914310,ME,1569,1161,0.74
2301914380,ME,2084,1531,0.73
2301917530,ME,2516,1829,0.73
2301917950,ME,899,746,0.83
2301918580,ME,37,24,0.65
2301921030,ME,1334,950,0.71
2301922535,ME,1686,1367,0.81
2301922710,ME,138,101,0.73
2301923620,ME,1245,853,0.69
2301923865,ME,905,657,0.73
2301924110,ME,745,550,0.74
2301927190,ME,802,577,0.72
2301927645,ME,3361,2606,0.78
2301929185,ME,1060,709,0.67
2301930795,ME,5929,4532,0.76
2301932510,ME,4683,3588,0.77
2301933490,ME,2702,2050,0.76
2301934190,ME,910,698,0.77
2301934365,ME,1085,758,0.70
2301936325,ME,1029,742,0.72
2301937075,ME,112,71,0.63
2301937760,ME,524,372,0.71
2301938005,ME,86,59,0.69
2301938530,ME,703,534,0.76
2301938705,ME,2032,1595,0.78
2301939475,ME,3327,2533,0.76
2301941435,ME,342,232,0.68
2301944270,ME,547,402,0.73
2301944340,ME,70,58,0.83
2301945005,ME,1016,784,0.77
2301945670,ME,2664,1780,0.67
2301945810,ME,3533,2488,0.70
2301947560,ME,156,119,0.76
2301948505,ME,1171,966,0.82
2301949065,ME,2381,1770,0.74
2301955225,ME,7774,5599,0.72
2301955565,ME,10315,5556,0.54
2301955680,ME,3110,2415,0.78
2301957045,ME,306,224,0.73
2301957150,ME,666,511,0.77
2301957937,ME,429,287,0.67
2301959950,ME,1049,748,0.71
2301960790,ME,132,98,0.74
2301967160,ME,41,35,0.85
2301973250,ME,264,178,0.67
2301973600,ME,256,214,0.84
2301974055,ME,1010,732,0.72
2301978780,ME,1540,1168,0.76
2301981055,ME,51,32,0.63
2301986305,ME,255,201,0.79
2301987390,ME,169,131,0.78
2302100100,ME,483,408,0.84
2302101920,ME,233,188,0.81
2302103740,ME,129,101,0.78
2302106400,ME,111,93,0.84
2302108325,ME,1015,715,0.70
2302118195,ME,2912,2176,0.75
2302129535,ME,1666,1128,0.68
2302130095,ME,853,702,0.82
2302137095,ME,21,19,0.90
2302137970,ME,90,73,0.81
2302144830,ME,185,152,0.82
2302146020,ME,1963,1237,0.63
2302146580,ME,578,474,0.82
2302156765,ME,668,498,0.75
2302165865,ME,1039,731,0.70
2302166950,ME,492,395,0.80
2302168140,ME,184,150,0.82
2302181405,ME,180,120,0.67
2302185710,ME,127,88,0.69
2302301570,ME,427,351,0.82
2302303355,ME,7015,4823,0.69
2302306260,ME,2513,1764,0.70
2302306365,ME,2438,1885,0.77
2302327295,ME,934,769,0.82
2302358515,ME,1875,1440,0.77
2302362645,ME,2528,1939,0.77
2302376960,ME,7706,6105,0.79
2302381930,ME,1611,1257,0.78
2302387460,ME,2485,2023,0.81
2302501395,ME,1683,1175,0.70
2302501885,ME,719,501,0.70
2302505000,ME,741,544,0.73
2302507380,ME,64,49,0.77
2302509655,ME,346,269,0.78
2302509935,ME,1510,1156,0.77
2302510495,ME,55,50,0.91
2302514555,ME,960,732,0.76
2302517285,ME,27,26,0.96
2302517460,ME,645,415,0.64
2302523410,ME,756,535,0.71
2302524320,ME,4517,3382,0.75
2302531355,ME,723,493,0.68
2302531740,ME,1197,888,0.74
2302532895,ME,154,118,0.77
2302535345,ME,731,544,0.74
2302542660,ME,3237,2306,0.71
2302545110,ME,517,424,0.82
2302547140,ME,147,119,0.81
2302547455,ME,355,263,0.74
2302549205,ME,682,463,0.68
2302549835,ME,2477,1840,0.74
2302556520,ME,1519,1089,0.72
2302559005,ME,3098,1980,0.64
2302559705,ME,73,51,0.70
2302562995,ME,352,269,0.76
2302564850,ME,1444,1163,0.81
2302568910,ME,6385,4155,0.65
2302569155,ME,750,624,0.83
2302569505,ME,780,610,0.78
2302573845,ME,488,357,0.73
2302576190,ME,70,44,0.63
2302582840,ME,62,49,0.79
2302703950,ME,5430,3998,0.74
2302704125,ME,740,577,0.78
2302707870,ME,715,581,0.81
2302709270,ME,922,689,0.75
2302726280,ME,826,671,0.81
2302726420,ME,561,440,0.78
2302735240,ME,575,430,0.75
2302735450,ME,448,334,0.75
2302737585,ME,615,459,0.75
2302739055,ME,737,566,0.77
2302739755,ME,1936,1574,0.81
2302746475,ME,806,561,0.70
2302746790,ME,770,647,0.84
2302747245,ME,689,551,0.80
2302752845,ME,1307,1037,0.79
2302756450,ME,1159,890,0.77
2302761210,ME,538,418,0.78
2302766565,ME,1011,853,0.84
2302766635,ME,2335,1570,0.67
2302774475,ME,1350,1021,0.76
2302775525,ME,1193,799,0.67
2302776610,ME,628,442,0.70
2302777625,ME,782,574,0.73
2302778255,ME,1691,1070,0.63
2302779480,ME,630,489,0.78
2302786760,ME,3136,2230,0.71
2302900001,ME,151,0,0.00
2302900380,ME,903,680,0.75
2302900660,ME,403,313,0.78
2302902480,ME,1033,707,0.68
2302902970,ME,166,127,0.77
2302903670,ME,365,288,0.79
2302903810,ME,45,42,0.93
2302909585,ME,2250,1505,0.67
2302912175,ME,225,185,0.82
2302912455,ME,970,664,0.68
2302913610,ME,15,0,0.00
2302913750,ME,311,220,0.71
2302913820,ME,452,320,0.71
2302914100,ME,130,106,0.82
2302914940,ME,91,73,0.80
2302915920,ME,400,297,0.74
2302916410,ME,491,373,0.76
2302916865,ME,46,39,0.85
2302917355,ME,219,338,1.54
2302920960,ME,989,760,0.77
2302921730,ME,1159,815,0.70
2302928660,ME,119,102,0.86
2302931530,ME,700,501,0.72
2302935905,ME,438,341,0.78
2302936010,ME,986,688,0.70
2302941610,ME,1203,823,0.68
2302941960,ME,1555,999,0.64
2302942100,ME,825,506,0.61
2302943640,ME,388,317,0.82
2302944760,ME,121,105,0.87
2302945600,ME,990,696,0.70
2302951375,ME,128,108,0.84
2302957090,ME,510,255,0.50
2302957780,ME,614,500,0.81
2302958165,ME,611,471,0.77
2302961035,ME,709,510,0.72
2302963275,ME,437,330,0.76
2302963940,ME,218,173,0.79
2302974125,ME,875,645,0.74
2302975770,ME,42,40,0.95
2302976895,ME,165,121,0.73
2302978675,ME,132,95,0.72
2302979375,ME,75,51,0.68
2302981685,ME,116,86,0.74
2302985185,ME,432,335,0.78
2302985290,ME,171,115,0.67
2303100275,ME,2091,1497,0.72
2303100730,ME,2447,1873,0.77
2303101605,ME,3379,2536,0.75
2303104720,ME,5938,4005,0.67
2303104860,ME,14721,10313,0.70
2303109410,ME,6397,4898,0.77
2303114485,ME,1143,836,0.73
2303116725,ME,1626,1270,0.78
2303122955,ME,6008,4353,0.72
2303133665,ME,3422,2640,0.77
2303136535,ME,9885,7650,0.77
2303136745,ME,2784,2502,0.90
2303137270,ME,7857,5748,0.73
2303138425,ME,4680,3198,0.68
2303139195,ME,2196,1672,0.76
2303139405,ME,2493,2094,0.84
2303141750,ME,3508,2617,0.75
2303148750,ME,1188,872,0.73
2303150325,ME,3846,2897,0.75
2303154980,ME,1168,921,0.79
2303155085,ME,6295,4015,0.64
2303156870,ME,1249,1027,0.82
2303164675,ME,15123,11011,0.73
2303165760,ME,14565,10362,0.71
2303167475,ME,1979,1568,0.79
2303170030,ME,5590,4265,0.76
2303180530,ME,5359,4000,0.75
2303181475,ME,8838,6793,0.77
2303187985,ME,12025,9028,0.75
2309999901,ME,381,315,0.83
2309999902,ME,385,329,0.85
2309999903,ME,222,0,0.00
2309999904,ME,505,281,0.56
2309999905,ME,300,224,0.75
2600100000,MI,8261,6283,0.76
2600300000,MI,6336,4595,0.73
2600500000,MI,77040,56574,0.73
2600700000,MI,20332,14875,0.73
2600900000,MI,18501,13812,0.75
2601100000,MI,10996,7827,0.71
2601300000,MI,5487,3556,0.65
2601500000,MI,41310,30745,0.74
2601700000,MI,73754,53928,0.73
2601900000,MI,13848,10420,0.75
2602100000,MI,108564,73381,0.68
2602300000,MI,27366,17932,0.66
2602500000,MI,88893,59721,0.67
2602700000,MI,34912,22954,0.66
2602900000,MI,19943,14837,0.74
2603100000,MI,19555,13896,0.71
2603300000,MI,21873,15690,0.72
2603500000,MI,20716,13588,0.66
2603700000,MI,52894,41404,0.78
2603900000,MI,10109,6955,0.69
2604100000,MI,25424,18797,0.74
2604300000,MI,18732,13359,0.71
2604500000,MI,75241,57126,0.76
2604700000,MI,25963,19239,0.74
2604900000,MI,294756,198853,0.67
2605100000,MI,18511,12680,0.68
2605300000,MI,11193,7484,0.67
2605500000,MI,68492,52440,0.77
2605700000,MI,23991,16713,0.70
2605900000,MI,29317,20212,0.69
2606100000,MI,21148,15935,0.75
2606300000,MI,22406,16167,0.72
2606500000,MI,181339,133355,0.74
2606700000,MI,39591,27258,0.69
2606900000,MI,18896,13597,0.72
2607100000,MI,8460,6038,0.71
2607300000,MI,38496,25797,0.67
2607500000,MI,100675,70701,0.70
2607700000,MI,178634,128233,0.72
2607900000,MI,12909,8950,0.69
2608100000,MI,419515,313396,0.75
2608300000,MI,1731,1465,0.85
2608500000,MI,8089,5448,0.67
2608700000,MI,61191,45803,0.75
2608900000,MI,18227,15047,0.83
2609100000,MI,65029,46630,0.72
2609300000,MI,135769,107147,0.79
2609500000,MI,3682,2624,0.71
2609700000,MI,8516,6237,0.73
2609900000,MI,574909,424679,0.74
2610100000,MI,17681,12819,0.73
2610300000,MI,45062,33501,0.74
2610500000,MI,20632,14948,0.72
2610700000,MI,24538,17392,0.71
2610900000,MI,15949,10914,0.68
2611100000,MI,59013,43182,0.73
2611300000,MI,9995,7441,0.74
2611500000,MI,104943,75319,0.72
2611700000,MI,38869,26959,0.69
2611900000,MI,7073,5088,0.72
2612100000,MI,116497,79278,0.68
2612300000,MI,32070,22941,0.72
2612500000,MI,873075,678090,0.78
2612700000,MI,17341,12108,0.70
2612900000,MI,14989,10588,0.71
2613100000,MI,4809,3531,0.73
2613300000,MI,15472,10766,0.70
2613500000,MI,6041,4365,0.72
2613700000,MI,18260,12742,0.70
2613900000,MI,184063,144902,0.79
2614100000,MI,9756,7376,0.76
2614300000,MI,18957,13242,0.70
2614500000,MI,132860,95604,0.72
2614700000,MI,110747,79143,0.71
2614900000,MI,37819,24175,0.64
2615100000,MI,26917,19520,0.73
2615300000,MI,5868,4232,0.72
2615500000,MI,48630,34643,0.71
2615700000,MI,36556,26144,0.72
2615900000,MI,49679,33857,0.68
2616100000,MI,253721,191473,0.75
2616300000,MI,1176284,788459,0.67
2616500000,MI,22697,15494,0.68
2700100000,MN,10626,9342,0.88
2700300000,MN,219336,186927,0.85
2700500000,MN,20371,17401,0.85
2700700000,MN,26614,21747,0.82
2700900000,MN,23934,20244,0.85
2701100000,MN,3265,2796,0.86
2701300000,MN,40329,33885,0.84
2701500000,MN,16223,13946,0.86
2701700000,MN,21621,18397,0.85
2701900000,MN,64655,56289,0.87
2702100000,MN,19423,16239,0.84
2702300000,MN,7329,6299,0.86
2702500000,MN,35154,30480,0.87
2702700000,MN,36338,29748,0.82
2702900000,MN,4930,4278,0.87
2703100000,MN,3764,3449,0.92
2703300000,MN,6667,5783,0.87
2703500000,MN,41939,36262,0.86
2703700000,MN,271377,234318,0.86
2703900000,MN,12439,10764,0.87
2704100000,MN,25705,22001,0.86
2704300000,MN,8749,7489,0.86
2704500000,MN,13091,11192,0.85
2704700000,MN,18915,16215,0.86
2704900000,MN,30178,25981,0.86
2705100000,MN,4025,3517,0.87
2705300000,MN,800951,686811,0.86
2705500000,MN,12653,10737,0.85
2705700000,MN,13502,11663,0.86
2705900000,MN,24694,21185,0.86
2706100000,MN,28525,24145,0.85
2706300000,MN,6316,5564,0.88
2706500000,MN,10078,8240,0.82
2706700000,MN,25223,21991,0.87
2706900000,MN,2843,2385,0.84
2707100000,MN,7570,6451,0.85
2707300000,MN,4524,3932,0.87
2707500000,MN,7577,6580,0.87
2707700000,MN,2565,2288,0.89
2707900000,MN,17496,15121,0.86
