FIPSCode,State,A3a,participated,percentage_participated
1800900000,IN,7564,5030,0.66
1801100000,IN,44342,33214,0.75
1801300000,IN,11119,8299,0.75
1801500000,IN,12516,8915,0.71
1801700000,IN,20602,14658,0.71
1801900000,IN,80935,52570,0.65
1802100000,IN,17354,11509,0.66
1802300000,IN,17467,14691,0.84
1802500000,IN,7434,4858,0.65
1802700000,IN,16349,11068,0.68
1802900000,IN,35045,28581,0.82
1803100000,IN,15890,11335,0.71
1803300000,IN,26114,17254,0.66
1803500000,IN,73275,46640,0.64
1803700000,IN,28031,20589,0.73
1803900000,IN,110063,68591,0.62
1804100000,IN,14729,10077,0.68
1804300000,IN,53586,38555,0.72
1804500000,IN,10650,7766,0.73
1804700000,IN,15557,11326,0.73
1804900000,IN,12268,8856,0.72
1805100000,IN,21508,15898,0.74
1805300000,IN,40984,26358,0.64
1805500000,IN,19068,14229,0.75
1805700000,IN,212095,159395,0.75
1805900000,IN,50514,37077,0.73
1806100000,IN,26778,19095,0.71
1806300000,IN,102198,77539,0.76
1806500000,IN,28683,20654,0.72
1806700000,IN,54493,38227,0.70
1806900000,IN,22690,16470,0.73
1807100000,IN,26232,18097,0.69
1807300000,IN,20921,13772,0.66
1807500000,IN,11664,8205,0.70
1807700000,IN,19860,13979,0.70
1807900000,IN,16703,11656,0.70
1808100000,IN,95238,67973,0.71
1808300000,IN,22666,16023,0.71
1808500000,IN,47119,33937,0.72
1808700000,IN,14368,9797,0.68
1808900000,IN,318958,208352,0.65
1809100000,IN,71007,46695,0.66
1809300000,IN,28663,19778,0.69
1809500000,IN,83790,55267,0.66
1809700000,IN,588386,373120,0.63
1809900000,IN,26835,18702,0.70
1810100000,IN,7199,4989,0.69
1810300000,IN,20572,13795,0.67
1810500000,IN,82677,60525,0.73
1810700000,IN,21488,15534,0.72
1810900000,IN,45160,32040,0.71
1811100000,IN,9337,5926,0.63
1811300000,IN,26861,17416,0.65
1811500000,IN,4634,3059,0.66
1811700000,IN,12462,8554,0.69
1811900000,IN,12761,8813,0.69
1812100000,IN,9425,6809,0.72
1812300000,IN,11513,8321,0.72
1812500000,IN,8514,6340,0.74
1812700000,IN,112384,79469,0.71
1812900000,IN,17195,13731,0.80
1813100000,IN,8438,5616,0.67
1813300000,IN,21379,15068,0.70
1813500000,IN,15662,10960,0.70
1813700000,IN,19327,13235,0.68
1813900000,IN,10353,7400,0.71
1814100000,IN,173964,113631,0.65
1814300000,IN,15248,9419,0.62
1814500000,IN,26521,18440,0.70
1814700000,IN,14014,10353,0.74
1814900000,IN,15525,9583,0.62
1815100000,IN,21756,14964,0.69
1815300000,IN,12870,8837,0.69
1815500000,IN,6132,7083,1.16
1815700000,IN,100547,64307,0.64
1815900000,IN,9944,7765,0.78
1816100000,IN,4493,3362,0.75
1816300000,IN,112990,74060,0.66
1816500000,IN,9123,7204,0.79
1816700000,IN,67129,40882,0.61
1816900000,IN,19810,13841,0.70
1817100000,IN,5759,4097,0.71
1817300000,IN,42218,30616,0.73
1817500000,IN,17313,11685,0.67
1817700000,IN,38036,26514,0.70
1817900000,IN,17737,13502,0.76
1818100000,IN,14874,10650,0.72
1818300000,IN,21266,16058,0.76
2000100000,KS,7689,5686,0.74
2000300000,KS,4761,3454,0.73
2000500000,KS,9271,6861,0.74
2000700000,KS,2791,2301,0.82
2000900000,KS,15215,10455,0.69
2001100000,KS,10156,6312,0.62
2001300000,KS,5373,4169,0.78
2001500000,KS,38328,28357,0.74
2001700000,KS,1659,1414,0.85
2001900000,KS,2286,1526,0.67
2002100000,KS,12937,8863,0.69
2002300000,KS,1832,1438,0.78
2002500000,KS,1406,1039,0.74
2002700000,KS,5223,3981,0.76
2002900000,KS,5451,3992,0.73
2003100000,KS,5770,4186,0.73
2003300000,KS,1119,929,0.83
2003500000,KS,17942,13056,0.73
2003700000,KS,21261,15434,0.73
2003900000,KS,1858,1499,0.81
2004100000,KS,12006,8428,0.70
2004300000,KS,4551,3488,0.77
2004500000,KS,64455,52164,0.81
2004700000,KS,1815,1349,0.74
2004900000,KS,1674,1327,0.79
2005100000,KS,15957,12254,0.77
2005300000,KS,3818,2767,0.72
2005500000,KS,16635,10543,0.63
2005700000,KS,13036,7943,0.61
2005900000,KS,15766,11319,0.72
2006100000,KS,11077,8363,0.75
2006300000,KS,1883,1391,0.74
2006500000,KS,1699,1321,0.78
2006700000,KS,3394,2460,0.72
2006900000,KS,2818,2121,0.75
2007100000,KS,839,671,0.80
2007300000,KS,4272,2911,0.68
2007500000,KS,1260,898,0.71
2007700000,KS,3802,2638,0.69
2007900000,KS,19970,15435,0.77
2008100000,KS,2085,1386,0.66
2008300000,KS,1253,1052,0.84
2008500000,KS,7837,6061,0.77
2008700000,KS,12376,8651,0.70
2008900000,KS,1883,1517,0.81
2009100000,KS,353769,299711,0.85
2009300000,KS,1995,1418,0.71
2009500000,KS,5125,3419,0.67
2009700000,KS,1436,1135,0.79
2009900000,KS,12591,8391,0.67
2010100000,KS,1132,903,0.80
2010300000,KS,41144,31146,0.76
2010500000,KS,2053,1524,0.74
2010700000,KS,6705,4547,0.68
2010900000,KS,1829,1389,0.76
2011100000,KS,16870,12844,0.76
2011300000,KS,15714,13186,0.84
2011500000,KS,7040,5813,0.83
2011700000,KS,6220,4854,0.78
2011900000,KS,3031,1754,0.58
