time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-03T02:50:07.500Z,43.5848,-111.1821,5,2.5,ml,,128,0.124,0.44,us,us2000k9gf,2019-06-18T15:50:09.040Z,"6km WSW of Victor, Idaho",earthquake,1.7,1.5,0.048,56,reviewed,us,us
2019-03-13T13:13:30.320Z,44.5675,-110.7358333,7.86,2.83,ml,34,67,0.07625,0.18,uu,uu60316182,2019-06-01T21:24:13.040Z,"14km NNE of Old Faithful Geyser, Wyoming",earthquake,0.32,0.48,0.368,9,reviewed,uu,uu
2019-03-04T17:16:43.810Z,44.6931667,-110.0821667,6.01,3.32,ml,23,76,0.07057,0.14,uu,uu60315147,2019-05-14T18:36:35.040Z,"64km ENE of Old Faithful Geyser, Wyoming",earthquake,0.31,0.81,0.339,14,reviewed,uu,uu
2019-02-16T21:22:50.830Z,44.465,-111.0071667,8.19,3.09,ml,21,95,0.1235,0.19,uu,uu60312957,2019-05-01T22:00:53.040Z,"14km W of Old Faithful Geyser, Wyoming",earthquake,0.45,2.38,0.256,8,reviewed,uu,uu
2019-01-23T10:05:57.520Z,44.2986667,-110.6803333,9.42,2.98,ml,19,113,0.122,0.22,uu,uu60310292,2019-04-12T17:14:12.040Z,"21km SSE of Old Faithful Geyser, Wyoming",earthquake,0.52,1.44,0.258,14,reviewed,uu,uu
2019-01-06T05:39:45.730Z,44.792,-110.2375,6.45,2.75,md,6,234,0.07782,0.15,uu,uu60016994,2019-03-08T17:50:19.040Z,"59km NE of Old Faithful Geyser, Wyoming",earthquake,2.56,1.51,0.132,3,reviewed,uu,uu
2019-01-06T05:39:31.650Z,44.7566667,-110.2405,6.87,2.6,md,9,116,0.06243,0.06,uu,uu60016989,2019-03-08T17:50:19.040Z,"57km NE of Old Faithful Geyser, Wyoming",earthquake,0.36,0.61,0.46,4,reviewed,uu,uu
2019-01-06T05:39:06.730Z,44.741,-110.25,2.08,2.58,md,6,106,0.067,0.19,uu,uu60016984,2019-03-08T17:50:19.040Z,"55km NE of Old Faithful Geyser, Wyoming",earthquake,0.9,12.79,0.663,3,reviewed,uu,uu
2019-01-06T05:38:42.460Z,44.7526667,-110.2343333,8.79,2.78,ml,14,111,0.0572,0.08,uu,uu60016979,2019-03-08T17:50:17.040Z,"57km NE of Old Faithful Geyser, Wyoming",earthquake,0.42,0.59,0.231,5,reviewed,uu,uu
2019-01-04T07:29:37.170Z,42.6747,-111.2117,12.11,2.5,ml,,43,0.122,0.51,us,us2000j0aa,2019-03-08T17:50:15.040Z,"23km WSW of Afton, Wyoming",earthquake,1.2,8.8,0.052,48,reviewed,us,us
2018-12-31T10:21:22.880Z,44.5685,-110.4931667,2.52,2.75,ml,9,90,0.06605,0.09,uu,uu60016814,2019-03-05T17:46:41.040Z,"29km ENE of Old Faithful Geyser, Wyoming",earthquake,0.41,31.61,0.229,4,reviewed,uu,uu
2018-12-31T10:21:08.830Z,44.573,-110.4863333,4.89,2.6,md,18,73,0.06197,0.14,uu,uu60308677,2019-01-02T17:51:42.973Z,"29km ENE of Old Faithful Geyser, Wyoming",earthquake,0.32,0.65,0.532,7,reviewed,uu,uu
2018-12-31T07:25:45.310Z,44.5718333,-110.5008333,4.79,2.7,ml,21,51,0.07195,0.13,uu,uu60308567,2019-03-05T17:46:40.040Z,"28km ENE of Old Faithful Geyser, Wyoming",earthquake,0.25,0.59,0.327,7,reviewed,uu,uu
2018-11-30T16:34:36.880Z,42.6811,-111.0437,5,3.1,ml,,66,0.094,0.67,us,us1000hydr,2019-02-09T19:02:09.040Z,"10km WSW of Afton, Wyoming",earthquake,1.3,1.4,0.04,84,reviewed,us,us
2018-10-21T21:07:06.940Z,44.3471667,-110.305,10.06,2.7,ml,26,82,0.0469,0.22,uu,uu60301652,2018-12-21T22:27:08.040Z,"43km ESE of Old Faithful Geyser, Wyoming",earthquake,0.52,0.73,0.141,10,reviewed,uu,uu
2018-10-14T11:14:07.870Z,42.7782,-109.0654,5,3.1,ml,,42,0.362,0.85,us,us1000hbyh,2018-12-21T21:15:52.040Z,"28km WSW of Lander, Wyoming",earthquake,4.5,2,0.039,88,reviewed,us,us
2018-10-13T13:52:54.800Z,44.7476667,-111.0383333,6.82,2.62,ml,18,98,0.02572,0.17,uu,uu60300657,2018-12-21T21:15:53.040Z,"10km NNE of West Yellowstone, Montana",earthquake,0.36,0.72,0.205,6,reviewed,uu,uu
2018-10-04T08:47:10.890Z,44.7535,-110.9843333,9.78,2.69,ml,30,47,0.01661,0.18,uu,uu60299487,2018-12-14T20:32:41.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.31,0.47,0.14,7,reviewed,uu,uu
2018-09-18T09:22:31.190Z,42.5869,-111.1523,6.23,3.3,ml,,53,0.182,0.61,us,us2000hgat,2018-11-27T15:51:58.040Z,"23km SW of Afton, Wyoming",earthquake,1.6,6.3,0.036,104,reviewed,us,us
2018-09-11T13:30:53.520Z,44.8608333,-110.4288333,10.65,2.85,ml,30,81,0.1196,0.21,uu,uu60296242,2018-11-21T18:19:09.040Z,"55km NE of Old Faithful Geyser, Wyoming",earthquake,0.47,0.65,0.411,7,reviewed,uu,uu
