time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-11T12:23:38.700Z,44.3151667,-110.4945,1.87,2.5,ml,15,144,0.05648,0.18,uu,uu60410807,2020-09-11T14:39:34.760Z,"61 km SE of West Yellowstone, Montana",earthquake,0.5,2.06,0.377,8,reviewed,uu,uu
2020-09-10T18:33:51.740Z,44.3333333,-110.5055,1.19,2.62,ml,17,125,0.07115,0.18,uu,uu60410552,2020-09-10T19:12:59.040Z,"60 km SE of West Yellowstone, Montana",earthquake,0.57,0.5,0.264,8,reviewed,uu,uu
2020-09-10T13:26:39.380Z,44.3063333,-110.4858333,5.59,2.84,ml,29,122,0.05197,0.26,uu,uu60410447,2020-10-09T20:24:54.040Z,"63 km SE of West Yellowstone, Montana",earthquake,0.48,0.83,0.346,10,reviewed,uu,uu
2020-09-10T12:50:06.820Z,44.3213333,-110.4985,4.41,2.68,ml,18,119,0.06107,0.19,uu,uu60410417,2020-10-26T13:23:14.040Z,"61 km SE of West Yellowstone, Montana",earthquake,0.42,0.64,0.434,8,reviewed,uu,uu
2020-09-10T12:21:57.550Z,44.3205,-110.4896667,1.89,2.68,ml,18,138,0.06279,0.2,uu,uu60410387,2020-09-10T17:48:26.220Z,"61 km SE of West Yellowstone, Montana",earthquake,0.53,9.47,0.362,9,reviewed,uu,uu
2020-09-10T12:09:31.800Z,44.3223333,-110.5208333,0.54,2.8,md,10,118,0.05854,0.27,uu,uu60410372,2020-10-26T13:16:33.040Z,"59 km SE of West Yellowstone, Montana",earthquake,0.82,0.4,0.2,4,reviewed,uu,uu
2020-09-10T11:42:53.060Z,44.3113333,-110.5055,1.88,2.81,ml,17,131,0.04997,0.12,uu,uu60410337,2020-10-13T08:17:32.040Z,"61 km SE of West Yellowstone, Montana",earthquake,0.33,1.01,0.442,7,reviewed,uu,uu
2020-09-10T11:40:22.540Z,44.3203333,-110.497,1.2,2.56,ml,19,134,0.06052,0.21,uu,uu60410332,2020-09-10T17:43:55.390Z,"61 km SE of West Yellowstone, Montana",earthquake,0.83,0.73,0.321,8,reviewed,uu,uu
2020-08-21T05:12:05.950Z,44.4493333,-110.9668333,7.57,2.58,ml,20,118,0.09385,0.21,uu,uu60406532,2020-10-31T19:06:13.040Z,"26 km SSE of West Yellowstone, Montana",earthquake,0.64,0.84,0.074,7,reviewed,uu,uu
2020-06-14T10:26:22.640Z,44.7223333,-110.8775,7.17,2.8,ml,26,81,0.06546,0.17,uu,uu60396447,2020-08-22T19:14:54.040Z,"18km ENE of West Yellowstone, Montana",earthquake,0.29,0.6,0.292,5,reviewed,uu,uu
2020-06-06T01:19:02.590Z,44.8413333,-110.7815,10.77,2.81,ml,36,38,0.059,0.17,uu,uu60393452,2020-08-18T17:58:55.040Z,"32km NE of West Yellowstone, Montana",earthquake,0.31,0.5,0.359,5,reviewed,uu,uu
2020-05-29T10:40:10.960Z,44.7355,-110.8018333,4.84,2.5,ml,17,54,0.06319,0.14,uu,uu60023029,2020-08-15T20:19:47.040Z,"25km ENE of West Yellowstone, Montana",earthquake,0.34,0.52,0.283,5,reviewed,uu,uu
2020-05-29T10:39:04.880Z,44.7276667,-110.7995,9.56,3.08,ml,31,46,0.0683,0.25,uu,uu60391377,2020-08-15T20:19:47.040Z,"24km ENE of West Yellowstone, Montana",earthquake,0.42,0.74,0.213,5,reviewed,uu,uu
